gm,Vd=0V	gm,Vd=0.15V	gm,Vd=0.3V	gm,Vd=0.45V	gm,Vd=0.6V	gm,Vd=0.75V	gm,Vd=0.9V
-5.988e-08	-2.31600000000004e-08	-1.00200000000001e-08	-6.24000000000011e-09	-3.65000000000006e-09	-1.45999999999998e-09	-5.14999999999949e-10
-5.70599999999997e-08	-2.02800000000001e-08	-1.09399999999999e-08	-6.5700000000001e-09	-2.88000000000005e-09	-2.21e-09	-1.25899999999997e-09
-5.64199999999995e-08	-1.99799999999998e-08	-9.97999999999998e-09	-5.59999999999994e-09	-3.76000000000001e-09	-1.81000000000001e-09	-4.54999999999983e-10
-5.64399999999999e-08	-2.00999999999996e-08	-1.03800000000001e-08	-5.36000000000003e-09	-3.30000000000003e-09	-1.29e-09	-1.222e-09
-5.71800000000002e-08	-1.71000000000003e-08	-9.99999999999976e-09	-5.71000000000009e-09	-3.87999999999999e-09	-2.10999999999999e-09	-3.1200000000002e-10
-5.35999999999998e-08	-1.63200000000004e-08	-9.05999999999986e-09	-5.71000000000009e-09	-2.18999999999993e-09	-2.22999999999999e-09	-1.19400000000004e-09
-4.64999999999998e-08	-1.97599999999998e-08	-8.54000000000021e-09	-5.69e-09	-3.05999999999993e-09	-1.18000000000002e-09	-6.37000000000052e-10
-5.02000000000001e-08	-2.20199999999996e-08	-9.05999999999988e-09	-4.73000000000002e-09	-3.18999999999997e-09	-9.40000000000004e-10	-3.16000000000045e-10
-5.43800000000004e-08	-1.98200000000005e-08	-9.27999999999987e-09	-5.42000000000009e-09	-2.84999999999996e-09	-1.71999999999998e-09	-7.79000000000035e-10
-4.41000000000002e-08	-1.76600000000001e-08	-9.14000000000023e-09	-4.68999999999997e-09	-3.00999999999993e-09	-1.35999999999996e-09	-2.09000000000022e-10
-4.08599999999998e-08	-1.85199999999996e-08	-8.08000000000018e-09	-5.23999999999992e-09	-2.25999999999996e-09	-5.89999999999992e-10	-1.247e-09
-3.87999999999995e-08	-1.63200000000003e-08	-8.21999999999981e-09	-4.99999999999984e-09	-2.81000000000002e-09	-1.53000000000003e-09	-2.20999999999977e-10
-3.68799999999996e-08	-1.57400000000001e-08	-8.34000000000001e-09	-4.36999999999987e-09	-1.82000000000003e-09	-7.40000000000035e-10	-8.06999999999963e-10
-3.67200000000002e-08	-1.66999999999998e-08	-7.46000000000005e-09	-3.87000000000012e-09	-2.61e-09	-2.2000000000003e-10	-3.76999999999954e-10
-4.64599999999999e-08	-1.50000000000002e-08	-7.87999999999992e-09	-3.44000000000004e-09	-1.63000000000005e-09	-8.10000000000011e-10	-3.29999999999955e-10
-4.0399999999999e-08	-1.36400000000001e-08	-7.29999999999998e-09	-4.17999999999987e-09	-1.45000000000003e-09	-8.7000000000001e-10	-9.59999999999969e-10
-3.31200000000004e-08	-1.44800000000003e-08	-7.68000000000011e-09	-4.03000000000008e-09	-1.34000000000003e-09	2.39999999999975e-10	-1.42999999999995e-10
-3.49000000000005e-08	-1.49399999999999e-08	-8.00000000000013e-09	-3.15999999999997e-09	-1.15000000000002e-09	1.13000000000001e-09	-5.34e-10
-2.48999999999998e-08	-1.24799999999998e-08	-5.93999999999991e-09	-1.61000000000004e-09	-8.1e-10	-2.7e-10	-3.05999999999999e-10
-2.98999999999995e-08	-9.29999999999995e-09	-5.19999999999994e-09	-1.8100000000001e-09	3.20000000000015e-10	1.25999999999999e-09	-1.107e-09
