Vd	Id,Vg=0V	Ig,Vg=0V	Is,Vg=0V	Iavdd,Vg=0V	Ignd,Vg=0V	Id,Vg=0.15V	Ig,Vg=0.15V	Is,Vg=0.15V	Iavdd,Vg=0.15V	Ignd,Vg=0.15V	Id,Vg=0.3V	Ig,Vg=0.3V	Is,Vg=0.3V	Iavdd,Vg=0.3V	Ignd,Vg=0.3V	Id,Vg=0.45V	Ig,Vg=0.45V	Is,Vg=0.45V	Iavdd,Vg=0.45V	Ignd,Vg=0.45V	Id,Vg=0.6V	Ig,Vg=0.6V	Is,Vg=0.6V	Iavdd,Vg=0.6V	Ignd,Vg=0.6V	Id,Vg=0.75V	Ig,Vg=0.75V	Is,Vg=0.75V	Iavdd,Vg=0.75V	Ignd,Vg=0.75V	Id,Vg=0.9V	Ig,Vg=0.9V	Is,Vg=0.9V	Iavdd,Vg=0.9V	Ignd,Vg=0.9V
0.11	5.74264e-08	-1.239e-11	-5.76996e-08	4.8888e-07	-4.67e-07	5.3926e-06	1.271e-11	-5.4193e-06	4.6578e-07	-4.9406e-07	0.00034956	1.0532e-10	-0.0003507	4.8936e-07	-4.8912e-07	0.0048964	5.1561e-10	-0.0049046	4.7428e-07	-4.9098e-07	0.012832	1.9771e-09	-0.01283	4.897e-07	-4.5176e-07	0.017856	6.8196e-09	-0.017852	4.9196e-07	-4.9174e-07	0.020492	2.49728e-08	-0.020488	4.908e-07	-4.6316e-07
0.115	5.91474e-08	-8.89e-12	-5.9149e-08	4.907e-07	-4.9052e-07	5.5423e-06	1.372e-11	-5.5731e-06	4.5374e-07	-4.8898e-07	0.0003585	1.0168e-10	-0.00035956	4.9426e-07	-4.9412e-07	0.0050288	5.1294e-10	-0.0050348	4.9094e-07	-4.9106e-07	0.013304	1.9438e-09	-0.013304	4.8948e-07	-4.8974e-07	0.018602	6.6832e-09	-0.018606	4.8476e-07	-4.901e-07	0.021386	2.44304e-08	-0.021388	4.9088e-07	-4.9058e-07
0.12	6.06846e-08	-1.292e-11	-6.09936e-08	4.8858e-07	-4.9478e-07	5.6854e-06	1.539e-11	-5.7276e-06	4.7934e-07	-4.9362e-07	0.00036694	1.0206e-10	-0.0003684	4.8932e-07	-4.8942e-07	0.005148	5.0224e-10	-0.0051542	4.896e-07	-4.9098e-07	0.013756	1.9118e-09	-0.013758	4.908e-07	-4.6206e-07	0.01934	6.5539e-09	-0.019336	4.9046e-07	-4.904e-07	0.022276	2.38686e-08	-0.022274	4.507e-07	-4.9074e-07
0.125	6.24518e-08	-1.01e-11	-6.28348e-08	4.8912e-07	-4.8852e-07	5.8495e-06	1.403e-11	-5.875e-06	4.9062e-07	-4.5094e-07	0.00037538	1.0247e-10	-0.0003769	4.8938e-07	-4.643e-07	0.0052674	4.9699e-10	-0.0052756	4.8926e-07	-4.8968e-07	0.014206	1.879e-09	-0.014208	4.7422e-07	-4.49e-07	0.020074	6.4286e-09	-0.020072	4.942e-07	-4.901e-07	0.023164	2.33598e-08	-0.023164	4.9066e-07	-4.4948e-07
0.13	6.42576e-08	-1.281e-11	-6.44274e-08	4.9096e-07	-4.9124e-07	5.9979e-06	1.126e-11	-6.0211e-06	4.8934e-07	-4.8918e-07	0.00038404	9.868e-11	-0.00038504	4.669e-07	-4.8288e-07	0.005379	4.9388e-10	-0.005387	4.8968e-07	-4.8962e-07	0.014636	1.8446e-09	-0.014638	4.9126e-07	-4.9136e-07	0.020788	6.3005e-09	-0.020792	4.9064e-07	-4.9046e-07	0.024046	2.28138e-08	-0.024042	4.9248e-07	-4.924e-07
0.135	6.6116e-08	-1.021e-11	-6.60382e-08	4.8946e-07	-4.8924e-07	6.1522e-06	1.284e-11	-6.1636e-06	4.8906e-07	-4.8918e-07	0.00039226	1.0093e-10	-0.00039344	4.91e-07	-4.911e-07	0.0054896	4.8569e-10	-0.005495	4.9088e-07	-4.6594e-07	0.015058	1.8169e-09	-0.015058	4.8978e-07	-4.8292e-07	0.021498	6.1855e-09	-0.021498	4.8352e-07	-4.904e-07	0.024916	2.2365e-08	-0.024916	4.92e-07	-4.922e-07
0.14	6.76548e-08	-1.304e-11	-6.78622e-08	4.9406e-07	-4.7594e-07	6.2939e-06	1.539e-11	-6.3026e-06	4.6422e-07	-4.8928e-07	0.00040098	1.0078e-10	-0.00040184	4.6364e-07	-4.9098e-07	0.005592	4.7888e-10	-0.0056004	4.8962e-07	-4.9072e-07	0.015472	1.7796e-09	-0.015476	4.8984e-07	-4.8962e-07	0.022212	6.1027e-09	-0.02221	4.9008e-07	-4.9026e-07	0.025794	2.18946e-08	-0.02579	4.9066e-07	-4.9078e-07
0.145	6.95148e-08	-1.088e-11	-6.94074e-08	4.7876e-07	-4.4882e-07	6.4385e-06	1.16e-11	-6.4749e-06	4.7986e-07	-4.8918e-07	0.00040896	9.736e-11	-0.00040982	4.9076e-07	-4.9078e-07	0.00569	4.7774e-10	-0.0056988	4.8972e-07	-4.8956e-07	0.015872	1.7541e-09	-0.015872	4.9144e-07	-4.906e-07	0.022902	5.9561e-09	-0.022904	4.4968e-07	-4.9164e-07	0.02666	2.13648e-08	-0.026658	4.906e-07	-4.9068e-07
0.15	7.11454e-08	-1.388e-11	-7.15636e-08	4.896e-07	-4.4858e-07	6.607e-06	1.168e-11	-6.6269e-06	4.8934e-07	-4.8946e-07	0.00041684	9.957e-11	-0.00041772	4.9058e-07	-4.9068e-07	0.0057904	4.6989e-10	-0.0057968	4.8938e-07	-4.8952e-07	0.016266	1.7293e-09	-0.016268	4.8988e-07	-4.9446e-07	0.023596	5.8519e-09	-0.023598	4.9192e-07	-4.576e-07	0.027532	2.09488e-08	-0.027526	4.9538e-07	-4.9342e-07
0.155	7.30748e-08	-1.274e-11	-7.3096e-08	4.8968e-07	-4.8968e-07	6.757e-06	1.524e-11	-6.7678e-06	4.8938e-07	-4.9026e-07	0.00042484	9.831e-11	-0.00042592	4.8934e-07	-4.8938e-07	0.0058808	4.6565e-10	-0.0058896	4.9408e-07	-4.8942e-07	0.016644	1.6968e-09	-0.016642	4.525e-07	-4.881e-07	0.024272	5.7437e-09	-0.024276	4.907e-07	-4.9052e-07	0.028378	2.04378e-08	-0.02838	4.5056e-07	-4.9226e-07
0.16	7.477e-08	-1.58e-11	-7.4826e-08	4.8918e-07	-4.8756e-07	6.8988e-06	1.123e-11	-6.9245e-06	4.7276e-07	-4.9384e-07	0.00043302	9.591e-11	-0.00043406	4.8892e-07	-4.5484e-07	0.0059718	4.6604e-10	-0.0059802	4.9086e-07	-4.9386e-07	0.017014	1.674e-09	-0.017014	4.9146e-07	-4.9144e-07	0.024948	5.6354e-09	-0.024948	4.8538e-07	-4.9006e-07	0.029238	2.0032e-08	-0.029238	4.953e-07	-4.9556e-07
0.165	7.63042e-08	-1.425e-11	-7.67254e-08	4.8978e-07	-4.9402e-07	7.0312e-06	1.022e-11	-7.0677e-06	4.8908e-07	-4.8902e-07	0.00044088	9.969e-11	-0.00044188	4.6032e-07	-4.8786e-07	0.006061	4.5919e-10	-0.0060674	4.8952e-07	-4.895e-07	0.017368	1.6514e-09	-0.017374	4.9002e-07	-4.6862e-07	0.025608	5.5372e-09	-0.02561	4.902e-07	-4.9044e-07	0.03008	1.96354e-08	-0.030084	4.908e-07	-4.906e-07
0.17	7.83366e-08	-1.679e-11	-7.82696e-08	4.9018e-07	-4.9098e-07	7.1909e-06	1.406e-11	-7.2233e-06	4.9088e-07	-4.9076e-07	0.00044866	9.78e-11	-0.00044956	4.9376e-07	-4.6154e-07	0.0061456	4.5309e-10	-0.0061514	4.9124e-07	-4.8926e-07	0.01772	1.6239e-09	-0.017722	4.8382e-07	-4.9004e-07	0.026266	5.441e-09	-0.026272	4.9026e-07	-4.9048e-07	0.030928	1.928e-08	-0.03093	4.906e-07	-4.9094e-07
0.175	7.98328e-08	-1.685e-11	-8.0207e-08	4.483e-07	-4.8952e-07	7.3353e-06	1.078e-11	-7.3788e-06	4.8854e-07	-4.8866e-07	0.00045614	9.541e-11	-0.00045714	4.8916e-07	-4.9056e-07	0.0062254	4.5422e-10	-0.006232	4.899e-07	-4.9444e-07	0.018058	1.602e-09	-0.018058	4.922e-07	-4.899e-07	0.02691	5.3445e-09	-0.02691	4.9046e-07	-4.9052e-07	0.03176	1.89102e-08	-0.031758	4.5002e-07	-4.9142e-07
0.18	8.171e-08	-1.811e-11	-8.16326e-08	4.9428e-07	-4.8956e-07	7.5132e-06	9.43e-12	-7.4848e-06	4.8828e-07	-4.8708e-07	0.00046368	9.854e-11	-0.00046432	4.893e-07	-4.8906e-07	0.0063064	4.4736e-10	-0.0063134	4.895e-07	-4.8946e-07	0.018388	1.5817e-09	-0.018394	4.9432e-07	-4.713e-07	0.027554	5.2497e-09	-0.027558	4.7624e-07	-4.9048e-07	0.032592	1.85112e-08	-0.032594	4.9216e-07	-4.9188e-07
0.185	8.34798e-08	-2.143e-11	-8.37678e-08	4.8954e-07	-4.891e-07	7.629e-06	1.235e-11	-7.6699e-06	4.4808e-07	-4.8258e-07	0.00047186	9.69e-11	-0.0004728	4.8948e-07	-4.8976e-07	0.0063824	4.4321e-10	-0.006388	4.8972e-07	-4.8938e-07	0.018702	1.5572e-09	-0.018706	4.9104e-07	-4.9152e-07	0.028176	5.1892e-09	-0.02818	4.8952e-07	-4.8958e-07	0.033418	1.81356e-08	-0.033416	4.9072e-07	-4.9248e-07
0.19	8.53076e-08	-2.1e-11	-8.53082e-08	4.8912e-07	-4.8926e-07	7.8122e-06	1.168e-11	-7.8129e-06	4.549e-07	-4.8836e-07	0.00047902	9.362e-11	-0.00048008	4.9104e-07	-4.9102e-07	0.006454	4.4576e-10	-0.0064628	4.9042e-07	-4.908e-07	0.019012	1.5366e-09	-0.01901	4.8972e-07	-4.9154e-07	0.028794	5.0769e-09	-0.028796	4.9066e-07	-4.5204e-07	0.034228	1.77876e-08	-0.03423	4.8578e-07	-4.91e-07
0.195	8.70864e-08	-2.461e-11	-8.68616e-08	4.8962e-07	-4.8914e-07	7.9552e-06	1.084e-11	-7.9605e-06	4.8948e-07	-4.8934e-07	0.00048702	9.762e-11	-0.0004875	4.9114e-07	-4.9098e-07	0.0065288	4.3948e-10	-0.0065372	4.91e-07	-4.8678e-07	0.019308	1.5182e-09	-0.019306	4.9146e-07	-4.9146e-07	0.029412	4.9924e-09	-0.029406	4.8976e-07	-4.896e-07	0.035048	1.74278e-08	-0.035046	4.855e-07	-4.9562e-07
0.2	8.8588e-08	-2.466e-11	-8.87424e-08	4.893e-07	-4.8958e-07	8.102e-06	8.95e-12	-8.1002e-06	4.895e-07	-4.9352e-07	0.0004945	9.487e-11	-0.00049482	4.7728e-07	-4.9046e-07	0.0066004	4.3481e-10	-0.0065968	4.906e-07	-4.9082e-07	0.019594	1.4977e-09	-0.019598	4.9e-07	-4.9002e-07	0.030008	4.911e-09	-0.030006	4.6576e-07	-4.8974e-07	0.035854	1.70816e-08	-0.035854	4.907e-07	-4.9074e-07
0.205	9.05636e-08	-2.814e-11	-9.06012e-08	4.9072e-07	-4.6356e-07	8.2504e-06	1.009e-11	-8.2267e-06	4.888e-07	-4.8928e-07	0.0005017	9.273e-11	-0.00050222	4.8946e-07	-4.8942e-07	0.0066654	4.3917e-10	-0.0066746	4.897e-07	-4.9496e-07	0.019874	1.48e-09	-0.019878	4.4888e-07	-4.795e-07	0.030606	4.8263e-09	-0.030606	4.902e-07	-4.9376e-07	0.036662	1.6751e-08	-0.036658	4.6512e-07	-4.9086e-07
0.21	9.21732e-08	-2.853e-11	-9.26208e-08	4.9436e-07	-4.9358e-07	8.3801e-06	1.193e-11	-8.4273e-06	4.8804e-07	-4.8896e-07	0.000509	9.78e-11	-0.00050992	4.8934e-07	-4.8814e-07	0.0067362	4.3193e-10	-0.0067432	4.9534e-07	-4.8884e-07	0.020144	1.46e-09	-0.020148	4.9004e-07	-4.8996e-07	0.031178	4.7728e-09	-0.031182	4.8998e-07	-4.9004e-07	0.037452	1.63792e-08	-0.03745	4.6526e-07	-4.8486e-07
0.215	9.4255e-08	-3.198e-11	-9.3978e-08	4.8916e-07	-4.5528e-07	8.5378e-06	7.49e-12	-8.5664e-06	4.8882e-07	-4.91e-07	0.00051698	9.457e-11	-0.00051664	4.8974e-07	-4.8936e-07	0.0068024	4.2723e-10	-0.0068058	4.9492e-07	-4.9386e-07	0.02041	1.4456e-09	-0.020414	4.9488e-07	-4.9462e-07	0.031758	4.6761e-09	-0.031756	4.8978e-07	-4.8998e-07	0.038248	1.60928e-08	-0.038244	4.5016e-07	-4.9072e-07
0.22	9.57652e-08	-3.109e-11	-9.58594e-08	4.7338e-07	-4.4856e-07	8.6958e-06	8.37e-12	-8.7109e-06	4.8928e-07	-4.8942e-07	0.00051908	9.199e-11	-0.00051964	4.8948e-07	-4.89e-07	0.0068636	4.316e-10	-0.0068668	4.763e-07	-4.8892e-07	0.02066	1.4297e-09	-0.020662	4.9478e-07	-4.9454e-07	0.032316	4.6027e-09	-0.032314	4.9612e-07	-4.9616e-07	0.039022	1.57886e-08	-0.039026	4.957e-07	-4.957e-07
