|Vgs|	Gm_|Vds|=0.15V	Gm_|Vds|=0.3V	Gm_|Vds|=0.45V	Gm_|Vds|=0.6V	Gm_|Vds|=0.75V	Gm_|Vds|=0.9V
-0.22	-4.76000000000003e-10	-9.74000000000006e-10	-5.07400000000004e-09	-1.29240000000001e-08	-4.44140000000002e-08	-1.32030000000001e-07
-0.215	-5.14000000000007e-10	-8.28000000000011e-10	-3.97800000000004e-09	-1.29400000000001e-08	-4.19980000000002e-08	-1.29256000000001e-07
-0.21	-4.24000000000006e-10	-1.83200000000001e-09	-3.20799999999997e-09	-1.259e-08	-3.69339999999999e-08	-1.26606e-07
-0.205	-3.48000000000007e-10	-2.58e-09	-2.85599999999995e-09	-1.3456e-08	-3.68679999999999e-08	-1.21258e-07
-0.2	-3.18000000000006e-10	-3.00000000000001e-09	-2.71199999999997e-09	-1.39899999999999e-08	-3.7742e-08	-1.13978e-07
-0.195	-1.21000000000004e-10	-2.84700000000001e-09	-2.88399999999999e-09	-1.28719999999999e-08	-3.454e-08	-1.08596e-07
-0.19	1.21e-10	-1.852e-09	-3.65999999999998e-09	-1.2306e-08	-3.3204e-08	-1.03596e-07
-0.185	1.41000000000002e-10	-7.30999999999996e-10	-3.84399999999998e-09	-1.1756e-08	-3.2608e-08	-9.8118e-08
-0.18	1.77e-10	2.39999999999999e-10	-3.274e-09	-1.0828e-08	-2.9e-08	-9.3788e-08
-0.175	3.86999999999998e-10	7.60000000000009e-10	-3.55199999999999e-09	-1.1276e-08	-2.771e-08	-9.0902e-08
-0.17	5.90999999999999e-10	3.78000000000016e-10	-3.89199999999998e-09	-1.075e-08	-2.8702e-08	-8.77000000000001e-08
-0.165	8.21999999999999e-10	-9.29999999999912e-11	-2.84999999999999e-09	-8.25199999999996e-09	-2.7298e-08	-8.3914e-08
-0.16	1.24e-09	3.36000000000004e-10	-2.06600000000001e-09	-7.54599999999997e-09	-2.5256e-08	-8.14979999999998e-08
-0.155	1.83e-09	9.69999999999999e-10	-1.58000000000004e-09	-7.694e-09	-2.3328e-08	-7.95459999999999e-08
-0.15	2.307e-09	1.16699999999999e-09	1.1399999999996e-10	-4.78600000000002e-09	-2.00180000000001e-08	-7.4972e-08
-0.145	2.618e-09	1.73399999999998e-09	1.51399999999998e-09	-2.03800000000002e-09	-1.7802e-08	-6.93539999999999e-08
