|Vds|	Gm_|Vgs|=0.15V	Gm_|Vgs|=0.3V	Gm_|Vgs|=0.45V	Gm_|Vgs|=0.6V	Gm_|Vgs|=0.75V	Gm_|Vgs|=0.9V
0.425	4.21242000000001e-07	4.26714000000001e-07	4.30244000000001e-07	4.31060000000001e-07	4.34168000000001e-07	4.49064000000001e-07
0.42	4.01584e-07	4.07518e-07	4.10652e-07	4.10372e-07	4.14998e-07	4.28068e-07
0.415	3.86192e-07	3.89312e-07	3.93426e-07	3.94012e-07	3.96014e-07	4.06474e-07
0.41	3.70624e-07	3.70176e-07	3.75444e-07	3.78546e-07	3.78024e-07	3.8691e-07
0.405	3.52242e-07	3.51814e-07	3.57808e-07	3.5918e-07	3.61424e-07	3.64638e-07
0.4	3.35688e-07	3.35242e-07	3.412e-07	3.41268e-07	3.4423e-07	3.42518e-07
0.395	3.21e-07	3.20012e-07	3.23656e-07	3.2548e-07	3.25968e-07	3.2549e-07
0.39	3.05532e-07	3.05642e-07	3.07032e-07	3.09602e-07	3.10156e-07	3.12308e-07
0.385	2.91476e-07	2.92194e-07	2.9306e-07	2.93418e-07	2.96132e-07	2.99478e-07
0.38	2.79252e-07	2.7897e-07	2.7952e-07	2.77538e-07	2.80952e-07	2.86868e-07
0.375	2.66482e-07	2.65362e-07	2.6698e-07	2.64408e-07	2.64844e-07	2.74946e-07
0.37	2.54226e-07	2.51684e-07	2.56002e-07	2.52094e-07	2.49672e-07	2.62732e-07
0.365	2.42594e-07	2.41094e-07	2.44042e-07	2.40478e-07	2.36892e-07	2.50086e-07
0.36	2.30356e-07	2.32456e-07	2.3175e-07	2.31474e-07	2.25418e-07	2.3828e-07
0.355	2.18352e-07	2.2289e-07	2.20776e-07	2.22758e-07	2.1552e-07	2.27496e-07
0.35	2.08566e-07	2.13066e-07	2.1005e-07	2.12276e-07	2.08018e-07	2.16846e-07
0.345	1.99328000000001e-07	2.03282000000001e-07	1.99868000000001e-07	2.03412000000001e-07	2.01892000000001e-07	2.06958000000001e-07
0.34	1.89918000000001e-07	1.92624000000001e-07	1.91244000000001e-07	1.95012000000001e-07	1.94716000000001e-07	1.97876000000001e-07
0.335	1.81930000000001e-07	1.82114000000001e-07	1.83172000000001e-07	1.84980000000001e-07	1.87180000000001e-07	1.88520000000001e-07
0.33	1.74476000000001e-07	1.73372000000001e-07	1.74652000000001e-07	1.76524000000001e-07	1.79892000000001e-07	1.80098000000001e-07
0.325	1.66772e-07	1.65672e-07	1.66436e-07	1.69704e-07	1.72246e-07	1.72786e-07
0.32	1.6086e-07	1.6051e-07	1.59194e-07	1.62048e-07	1.63968e-07	1.65482e-07
0.315	1.56614e-07	1.58186e-07	1.54262e-07	1.5598e-07	1.56718e-07	1.58302e-07
0.31	1.49168e-07	1.5356e-07	1.50714e-07	1.5143e-07	1.51086e-07	1.52954e-07
0.305	1.40378e-07	1.4502e-07	1.44342e-07	1.4419e-07	1.43546e-07	1.48204e-07
0.3	1.33148e-07	1.35714e-07	1.36198e-07	1.35606e-07	1.35232e-07	1.40758e-07
0.295	1.25048e-07	1.25644e-07	1.28726e-07	1.28188e-07	1.28488e-07	1.32426e-07
0.29	1.1633e-07	1.14738e-07	1.19986e-07	1.20272e-07	1.21186e-07	1.25074e-07
0.285	1.10902e-07	1.0728e-07	1.11264e-07	1.1228e-07	1.13074e-07	1.16932e-07
0.28	1.07734e-07	1.04224e-07	1.06668e-07	1.0761e-07	1.07794e-07	1.0931e-07
0.275	1.03808e-07	1.02056e-07	1.04246e-07	1.02914e-07	1.04816e-07	1.04898e-07
0.27	1.0198e-07	1.01716e-07	1.01176e-07	9.93159999999999e-08	1.0154e-07	1.02474e-07
0.265	1.02881e-07	1.03645e-07	9.98499999999999e-08	1.01556e-07	1.00037e-07	1.02249e-07
0.26	1.02611e-07	1.03393e-07	1.00701e-07	1.03265e-07	1.0087e-07	1.03551e-07
0.255	9.97629999999999e-08	1.00349e-07	9.99529999999999e-08	1.00929e-07	1.00694e-07	1.02618e-07
0.25	9.57839999999999e-08	9.69209999999999e-08	9.67099999999999e-08	9.90659999999999e-08	9.82039999999999e-08	9.96719999999999e-08
0.245	8.97189999999999e-08	9.10629999999999e-08	9.25999999999999e-08	9.51649999999999e-08	9.47359999999999e-08	9.57609999999999e-08
0.24	8.15849999999999e-08	8.2038e-08	8.64319999999999e-08	8.5289e-08	8.91449999999999e-08	8.89099999999999e-08
0.235	7.49429999999999e-08	7.45849999999999e-08	7.81349999999999e-08	7.6161e-08	8.10629999999999e-08	8.03129999999999e-08
0.23	7.03079999999999e-08	7.01099999999999e-08	7.13609999999999e-08	7.1026e-08	7.42439999999999e-08	7.38339999999999e-08
0.225	6.65010000000001e-08	6.67310000000001e-08	6.72060000000001e-08	6.68060000000001e-08	6.97500000000001e-08	6.96220000000001e-08
0.22	6.35210000000002e-08	6.38110000000002e-08	6.41220000000002e-08	6.35620000000002e-08	6.58780000000002e-08	6.62720000000002e-08
0.215	6.07020000000002e-08	6.11730000000002e-08	6.13350000000002e-08	6.14060000000002e-08	6.23360000000002e-08	6.34420000000002e-08
0.21	5.78920000000002e-08	5.86800000000002e-08	5.86790000000002e-08	5.93540000000002e-08	5.93760000000002e-08	6.06790000000002e-08
0.205	5.55320000000002e-08	5.61100000000002e-08	5.61730000000002e-08	5.71430000000002e-08	5.66280000000002e-08	5.80000000000002e-08
0.2	5.32370000000001e-08	5.34300000000001e-08	5.36810000000001e-08	5.51970000000001e-08	5.38510000000001e-08	5.54480000000001e-08
0.195	5.0767e-08	5.0867e-08	5.1247e-08	5.3009e-08	5.1518e-08	5.2795e-08
0.19	4.844e-08	4.8614e-08	4.8982e-08	4.9763e-08	4.9652e-08	5.0352e-08
0.185	4.6269e-08	4.6419e-08	4.6863e-08	4.6643e-08	4.7669e-08	4.8e-08
0.18	4.4111e-08	4.416e-08	4.4802e-08	4.4488e-08	4.5689e-08	4.5579e-08
0.175	4.2139e-08	4.2162e-08	4.273e-08	4.268e-08	4.3907e-08	4.3333e-08
0.17	4.0395e-08	4.0488e-08	4.077e-08	4.0867e-08	4.2086e-08	4.155e-08
0.165	3.8604e-08	3.8825e-08	3.9047e-08	3.9218e-08	4.0266e-08	4.0327e-08
0.16	3.6867e-08	3.7256e-08	3.7401e-08	3.7781e-08	3.846e-08	3.8966e-08
0.155	3.5312e-08	3.5897e-08	3.5803e-08	3.6232e-08	3.6628e-08	3.6998e-08
0.15	3.3909e-08	3.4487e-08	3.4456e-08	3.4604e-08	3.5017e-08	3.5293e-08
0.145	3.2592e-08	3.2975e-08	3.3133e-08	3.3091e-08	3.364e-08	3.3926e-08
0.14	3.1416e-08	3.1551e-08	3.1707e-08	3.1886e-08	3.1924e-08	3.2009e-08
0.135	3.0369e-08	3.0315e-08	3.0419e-08	3.0734e-08	3.0321e-08	3.0534e-08
0.13	2.9245e-08	2.9203e-08	2.9296e-08	2.9532e-08	2.9353e-08	3.0103e-08
0.125	2.7999e-08	2.8079e-08	2.8152e-08	2.8437e-08	2.8463e-08	2.9304e-08
0.12	2.6774e-08	2.6896e-08	2.6951e-08	2.7402e-08	2.743e-08	2.7967e-08
0.115	2.5755e-08	2.5981e-08	2.6026e-08	2.6317e-08	2.6627e-08	2.6958e-08
0.11	2.479e-08	2.522e-08	2.5422e-08	2.5261e-08	2.5916e-08	2.5902e-08
0.105	2.3807e-08	2.4228e-08	2.4668e-08	2.4524e-08	2.4981e-08	2.4595e-08
0.1	2.2987e-08	2.3348e-08	2.3738e-08	2.3824e-08	2.387e-08	2.3707e-08
0.095	2.22750000000001e-08	2.26610000000001e-08	2.29590000000001e-08	2.30020000000001e-08	2.26620000000001e-08	2.32030000000001e-08
0.09	2.14950000000001e-08	2.18080000000001e-08	2.20440000000001e-08	2.23130000000001e-08	2.20930000000001e-08	2.26240000000001e-08
0.0850000000000001	2.08080000000001e-08	2.09720000000001e-08	2.10230000000001e-08	2.16660000000001e-08	2.19460000000001e-08	2.20380000000001e-08
0.0800000000000001	2.04210000000001e-08	2.04680000000001e-08	2.03090000000001e-08	2.08970000000001e-08	2.13560000000001e-08	2.15750000000001e-08
0.0750000000000001	2.007e-08	2.0062e-08	1.9888e-08	2.0261e-08	2.0901e-08	2.1063e-08
0.0700000000000001	1.9658e-08	1.9675e-08	1.9578e-08	1.9941e-08	2.0893e-08	2.0584e-08
0.0650000000000001	1.9362e-08	1.9471e-08	1.9416e-08	1.9675e-08	2.0467e-08	2.0276e-08
0.0600000000000001	1.91356e-08	1.93155e-08	1.929e-08	1.947e-08	1.9719e-08	2.0054e-08
0.055	1.89439e-08	1.91862e-08	1.91818e-08	1.95523e-08	1.9537e-08	2.0121e-08
0.05	1.88766e-08	1.92185e-08	1.94165e-08	1.97205e-08	1.98431e-08	2.03543e-08
0.045	1.89417e-08	1.93369e-08	1.97072e-08	1.97644e-08	2.01137e-08	2.04394e-08
0.04	1.9051e-08	1.93933e-08	1.97934e-08	1.9917e-08	2.03565e-08	2.06484e-08
0.035	1.9303e-08	1.95218e-08	2.00232e-08	2.03152e-08	2.07956e-08	2.10378e-08
0.03	1.97493e-08	1.99392e-08	2.04424e-08	2.06509e-08	2.12857e-08	2.14355e-08
0.025	2.02531e-08	2.04556e-08	2.0765e-08	2.10334e-08	2.17233e-08	2.19912e-08
0.02	2.08651e-08	2.09975e-08	2.12478e-08	2.18155e-08	2.23692e-08	2.27996e-08
0.015	2.16813e-08	2.18251e-08	2.21854e-08	2.27191e-08	2.32528e-08	2.37316e-08
0.01	2.24921e-08	2.27795e-08	2.31636e-08	2.34499e-08	2.41413e-08	2.46982e-08
0.005	2.328e-08	2.35678333333333e-08	2.41755e-08	2.43853333333333e-08	2.51958333333333e-08	2.57225e-08
0	2.4117e-08	2.4772e-08	2.529e-08	2.4795e-08	2.5993e-08	2.648e-08
