Vds	Gds_Vgs=0.15V	Gds_Vgs=0.30V	Gds_Vgs=0.45V	Gds_Vgs=0.60V	Gds_Vgs=0.75V	Gds_Vgs=0.90V
0.67	3.412e-05	0.0013186	0.006752	0.0127	0.01712	0.02564
0.675	3.554e-05	0.0013416	0.006758	0.01254	0.01694	0.02502
0.68	3.636e-05	0.001351	0.006856	0.01302	0.01688	0.02464
0.685	3.644e-05	0.0013348	0.007134	0.01378	0.0168	0.02432
0.69	3.658e-05	0.001348	0.007406	0.01332	0.0167	0.02376
0.695	3.646e-05	0.0013708	0.007494	0.01262	0.01672	0.02314
0.7	3.616e-05	0.0013618	0.007524	0.0125	0.01682	0.02296
0.705	3.642e-05	0.0013512	0.007552	0.01192	0.0167	0.02292
0.71	3.736e-05	0.0013658	0.007422	0.0113	0.01638	0.0224
0.715	3.76e-05	0.0013802	0.007258	0.01166	0.01638	0.02192
0.72	3.752e-05	0.0013706	0.007186	0.01208	0.01652	0.0218
0.725	3.92e-05	0.0013728	0.007106	0.01228	0.01636	0.02154
0.73	4.052e-05	0.0014026	0.007012	0.0125	0.01604	0.02112
0.735	4.016e-05	0.0014304	0.00699	0.0125	0.01586	0.02092
0.74	4.046e-05	0.0014402	0.007066	0.01264	0.0158	0.02088
0.745	4.13e-05	0.0014374	0.007138	0.01292	0.01562	0.02066
0.75	3.914e-05	0.0014284	0.007174	0.01284	0.01544	0.02024
0.755	3.666e-05	0.0014224	0.007242	0.01254	0.01552	0.01994
0.76	3.892e-05	0.0014156	0.007272	0.0125	0.01572	0.01986
0.765	4.222e-05	0.001406	0.007268	0.01248	0.0158	0.01964
0.77	4.264e-05	0.0014116	0.007328	0.01214	0.01578	0.0194
0.775	4.374e-05	0.0014292	0.007368	0.01198	0.0157	0.0193
0.78	4.526e-05	0.0014404	0.007382	0.01224	0.01562	0.0192
0.785	4.234e-05	0.0014334	0.0075	0.01232	0.01564	0.01908
0.79	4.036e-05	0.0014224	0.007498	0.01234	0.01512	0.01886
0.795	4.14e-05	0.0014344	0.007352	0.0129	0.01404	0.01866
0.8	3.99e-05	0.001456	0.007362	0.01382	0.0135	0.01858
0.805	3.882e-05	0.0014886	0.007418	0.01388	0.01338	0.0184
0.81	4.03e-05	0.001542	0.007368	0.01294	0.0132	0.01816
0.815	4.036e-05	0.0015658	0.007458	0.0125	0.0136	0.01816
0.82	4.098e-05	0.001554	0.00766	0.01248	0.0147	0.01816
0.825	4.384e-05	0.0015532	0.007716	0.01182	0.01546	0.01798
0.83	4.376e-05	0.0015504	0.007764	0.01162	0.01564	0.01792
0.835	4.118e-05	0.001533	0.007826	0.01258	0.01572	0.01792
0.84	3.902e-05	0.0015244	0.008256	0.0131	0.01572	0.01768
0.845	3.714e-05	0.0015478	0.00865	0.01282	0.0155	0.01728
0.85	3.854e-05	0.0016204	0.008268	0.0128	0.01584	0.01698
0.855	4.344e-05	0.0016862	0.00802	0.01328	0.01636	0.0169
0.86	4.736e-05	0.0016784	0.008184	0.01354	0.01568	0.01698
0.865	4.934e-05	0.0016504	0.007742	0.01324	0.01506	0.01712
0.87	4.978e-05	0.001668	0.007352	0.01314	0.01526	0.01724
0.875	4.752e-05	0.00164	0.008046	0.01346	0.01484	0.0172
0.88	4.594e-05	0.001586	0.008646	0.01342	0.01454	0.01706
0.885	4.72e-05	0.001646	0.008784	0.01344	0.01556	0.0169
0.89	4.952e-05	0.001776	0.009068	0.0141	0.01644	0.0168
0.895	5.262e-05	0.00185	0.00925	0.01462	0.01662	0.01686
0.9	5.626e-05	0.001878	0.0092	0.01452	0.01684	0.01708
