Vds	Vsg = 150	Vsg = 300	Vsg = 450	Vsg = 600	Vsg = 750	Vsg = 900
0.63	-0.00015936	-0.00284	-0.010206	-0.0158599999999999	-0.02012	-0.02676
0.625	-0.00015794	-0.002808	-0.010218	-0.0158399999999999	-0.0202800000000001	-0.0270200000000001
0.62	-0.00015644	-0.002788	-0.010196	-0.0158399999999999	-0.0203800000000001	-0.0271800000000001
0.615	-0.00015418	-0.00276	-0.01022	-0.01596	-0.0204400000000001	-0.02738
0.61	-0.0001516	-0.002728	-0.010218	-0.016	-0.0205000000000001	-0.02784
0.605	-0.00014938	-0.002716	-0.010118	-0.01594	-0.0206200000000001	-0.02836
0.6	-0.00014754	-0.002706	-0.010086	-0.01596	-0.02082	-0.0288199999999998
0.595	-0.00014524	-0.00268	-0.010098	-0.016	-0.0208999999999999	-0.0292799999999998
0.59	-0.00014256	-0.00265799999999999	-0.010064	-0.01596	-0.0209199999999999	-0.0297599999999999
0.585	-0.00014046	-0.002652	-0.010112	-0.01598	-0.0210999999999999	-0.03028
0.58	-0.00013854	-0.002638	-0.010188	-0.01612	-0.0212399999999999	-0.03074
0.575	-0.00013606	-0.00261	-0.01017	-0.01622	-0.02126	-0.03106
0.57	-0.00013384	-0.00259600000000001	-0.010152	-0.01624	-0.0214400000000001	-0.0315200000000001
0.565	-0.0001323	-0.00259200000000001	-0.01013	-0.01622	-0.0216800000000001	-0.0321
0.56	-0.00013096	-0.002568	-0.01008	-0.01618	-0.0217000000000001	-0.03254
0.555	-0.00012924	-0.002534	-0.010068	-0.01618	-0.0216999999999999	-0.0330200000000001
0.55	-0.00012698	-0.00252	-0.01008	-0.01624	-0.0219399999999999	-0.0337800000000002
0.545	-0.00012512	-0.002508	-0.010074	-0.01632	-0.0222	-0.03462
0.54	-0.00012368	-0.0024806	-0.010052	-0.0164	-0.02232	-0.03532
0.535	-0.0001216	-0.002462	-0.010026	-0.01644	-0.02246	-0.0360000000000001
0.53	-0.0001195	-0.002454	-0.010024	-0.0164400000000001	-0.0227	-0.03676
0.525	-0.0001184	-0.0024346	-0.01003	-0.0165	-0.02288	-0.0374999999999999
0.52	-0.00011742	-0.0024078	-0.010024	-0.01662	-0.0230199999999999	-0.0381399999999999
0.515	-0.00011574	-0.0023832	-0.010056	-0.01672	-0.0233399999999999	-0.0388999999999999
0.51	-0.00011416	-0.0023564	-0.010056	-0.01676	-0.02374	-0.0398799999999999
0.505	-0.00011236	-0.0023378	-0.00998200000000002	-0.01674	-0.024	-0.0408799999999999
0.5	-0.00010978	-0.0023248	-0.00995800000000004	-0.01674	-0.02414	-0.0418399999999999
0.495	-0.00010742	-0.0023068	-0.00998200000000004	-0.01674	-0.0242600000000002	-0.04286
0.49	-0.000106	-0.0022948	-0.00999000000000003	-0.01672	-0.0244000000000002	-0.0439
0.485	-0.00010484	-0.0022844	-0.010012	-0.0168	-0.0246000000000001	-0.04494
0.48	-0.0001034	-0.002262	-0.010038	-0.01696	-0.0248200000000001	-0.04602
