Vd	Id,Vg=0V	Ig,Vg=0V	Is,Vg=0V	Iavdd,Vg=0V	Ignd,Vg=0V	Id,Vg=0.15V	Ig,Vg=0.15V	Is,Vg=0.15V	Iavdd,Vg=0.15V	Ignd,Vg=0.15V	Id,Vg=0.3V	Ig,Vg=0.3V	Is,Vg=0.3V	Iavdd,Vg=0.3V	Ignd,Vg=0.3V	Id,Vg=0.45V	Ig,Vg=0.45V	Is,Vg=0.45V	Iavdd,Vg=0.45V	Ignd,Vg=0.45V	Id,Vg=0.6V	Ig,Vg=0.6V	Is,Vg=0.6V	Iavdd,Vg=0.6V	Ignd,Vg=0.6V	Id,Vg=0.75V	Ig,Vg=0.75V	Is,Vg=0.75V	Iavdd,Vg=0.75V	Ignd,Vg=0.75V	Id,Vg=0.9V	Ig,Vg=0.9V	Is,Vg=0.9V	Iavdd,Vg=0.9V	Ignd,Vg=0.9V
0.525	1.1766e-09	-1.788e-09	-5.7e-12	4.8732e-07	-4.8668e-07	1.1291e-10	-6.5227e-10	-7.23e-12	4.9026e-07	-4.8958e-07	-3.568e-10	-1.2518e-10	-3e-14	4.9202e-07	-4.9122e-07	-5.1486e-10	7.65e-11	-5.32e-12	4.9298e-07	-4.9282e-07	-5.8872e-10	1.8585e-10	7e-12	4.9412e-07	-4.935e-07	-7.8754e-10	4.2907e-10	-7.98e-12	4.9462e-07	-4.9418e-07	-1.6009e-09	1.2806e-09	-1.93e-12	4.9536e-07	-4.9492e-07
0.53	1.2607e-09	-1.8398e-09	5.89e-12	4.8708e-07	-4.8642e-07	1.7643e-10	-6.7412e-10	4.47e-12	4.9022e-07	-4.8994e-07	-3.0278e-10	-1.3425e-10	2.9e-13	4.9204e-07	-4.9138e-07	-4.664e-10	7.537e-11	2.98e-12	4.9308e-07	-4.9256e-07	-5.4749e-10	1.8356e-10	-2.96e-12	4.9378e-07	-4.9358e-07	-7.3159e-10	4.156e-10	5.14e-12	4.947e-07	-4.941e-07	-1.5163e-09	1.2327e-09	1.74e-12	4.9502e-07	-4.9494e-07
0.535	1.3583e-09	-1.886e-09	-6.15e-12	4.8734e-07	-4.8678e-07	2.3994e-10	-6.9815e-10	-1.83e-12	4.9054e-07	-4.8988e-07	-2.4594e-10	-1.4221e-10	-3.26e-12	4.9172e-07	-4.9152e-07	-4.2214e-10	7.503e-11	-4.57e-12	4.9304e-07	-4.9252e-07	-4.9466e-10	1.8024e-10	1.98e-12	4.9394e-07	-4.9358e-07	-6.7732e-10	4.0458e-10	-7.77e-12	4.9464e-07	-4.9406e-07	-1.4231e-09	1.1863e-09	-3.9e-13	4.9516e-07	-4.9498e-07
0.54	1.4574e-09	-1.9388e-09	6.88e-12	4.8718e-07	-4.865e-07	3.1256e-10	-7.2252e-10	7e-14	4.9036e-07	-4.898e-07	-1.9247e-10	-1.5282e-10	3.26e-12	4.9186e-07	-4.9158e-07	-3.804e-10	7.15e-11	1.05e-12	4.9294e-07	-4.9278e-07	-4.5018e-10	1.7419e-10	3.09e-12	4.9382e-07	-4.935e-07	-6.1885e-10	3.9451e-10	2.42e-12	4.9436e-07	-4.9442e-07	-1.3354e-09	1.144e-09	-3.15e-12	4.9512e-07	-4.9502e-07
0.545	1.549e-09	-1.9921e-09	-4.41e-12	4.8708e-07	-4.8666e-07	3.7796e-10	-7.5052e-10	4.22e-12	4.9014e-07	-4.898e-07	-1.4001e-10	-1.6281e-10	-2.7e-12	4.9186e-07	-4.916e-07	-3.2005e-10	6.765e-11	-1.98e-12	4.9296e-07	-4.9266e-07	-3.9959e-10	1.741e-10	-4.31e-12	4.939e-07	-4.937e-07	-5.6362e-10	3.8778e-10	-5.52e-12	4.9446e-07	-4.9436e-07	-1.2445e-09	1.0994e-09	3.37e-12	4.9498e-07	-4.9486e-07
0.55	1.6437e-09	-2.0447e-09	5.62e-12	4.8708e-07	-4.8664e-07	4.5103e-10	-7.7331e-10	-3.25e-12	4.9044e-07	-4.8998e-07	-8.619e-11	-1.723e-10	3.08e-12	4.9202e-07	-4.9154e-07	-2.8061e-10	6.702e-11	-1.86e-12	4.9294e-07	-4.9254e-07	-3.4648e-10	1.7001e-10	5.96e-12	4.9392e-07	-4.9382e-07	-5.1145e-10	3.7587e-10	-3.06e-12	4.9454e-07	-4.9426e-07	-1.1557e-09	1.062e-09	-6.74e-12	4.9524e-07	-4.9512e-07
0.555	1.7388e-09	-2.0996e-09	-1.87e-12	4.8722e-07	-4.8668e-07	5.2506e-10	-8.0161e-10	5.91e-12	4.904e-07	-4.8986e-07	-2.712e-11	-1.8486e-10	-1.47e-12	4.9198e-07	-4.917e-07	-2.2606e-10	6.298e-11	2.7e-12	4.9294e-07	-4.9272e-07	-3.0846e-10	1.6712e-10	-7.32e-12	4.9394e-07	-4.9374e-07	-4.5594e-10	3.6713e-10	2.68e-12	4.946e-07	-4.9438e-07	-1.0712e-09	1.022e-09	4.46e-12	4.9498e-07	-4.9492e-07
0.56	1.8343e-09	-2.1566e-09	-1.5e-13	4.8708e-07	-4.867e-07	5.9133e-10	-8.2968e-10	-2.83e-12	4.9012e-07	-4.901e-07	2.934e-11	-1.9596e-10	3.38e-12	4.9192e-07	-4.9152e-07	-1.8326e-10	6.063e-11	-6.32e-12	4.9292e-07	-4.9282e-07	-2.5081e-10	1.6483e-10	5.92e-12	4.9396e-07	-4.9376e-07	-4.0206e-10	3.5976e-10	-7.24e-12	4.9432e-07	-4.9436e-07	-9.952e-10	9.8688e-10	-7.29e-12	4.9496e-07	-4.949e-07
0.565	1.9368e-09	-2.215e-09	2.4e-12	4.8728e-07	-4.8696e-07	6.6731e-10	-8.5589e-10	5.71e-12	4.9012e-07	-4.8992e-07	8.115e-11	-2.0906e-10	-4e-13	4.9174e-07	-4.9156e-07	-1.3568e-10	5.55e-11	6.47e-12	4.9274e-07	-4.9272e-07	-2.053e-10	1.6437e-10	-5.85e-12	4.9388e-07	-4.9378e-07	-3.5427e-10	3.4662e-10	7.48e-12	4.9448e-07	-4.9424e-07	-9.1646e-10	9.4561e-10	-6e-12	4.9482e-07	-4.9486e-07
0.57	2.0374e-09	-2.2687e-09	-5.75e-12	4.872e-07	-4.8698e-07	7.3601e-10	-8.8258e-10	-3.85e-12	4.9038e-07	-4.8998e-07	1.4272e-10	-2.1966e-10	1.32e-12	4.9168e-07	-4.9174e-07	-8.879e-11	5.455e-11	-4.72e-12	4.9298e-07	-4.9272e-07	-1.6023e-10	1.6113e-10	1.68e-12	4.938e-07	-4.9372e-07	-2.9134e-10	3.4137e-10	-6.01e-12	4.9422e-07	-4.9444e-07	-8.3188e-10	9.1201e-10	6.01e-12	4.95e-07	-4.9502e-07
0.575	2.1395e-09	-2.3285e-09	3.44e-12	4.8708e-07	-4.869e-07	8.0985e-10	-9.1417e-10	2.24e-12	4.8994e-07	-4.8992e-07	2.0143e-10	-2.3408e-10	-2e-13	4.917e-07	-4.9166e-07	-3.931e-11	4.798e-11	5.18e-12	4.9294e-07	-4.9288e-07	-1.1253e-10	1.5955e-10	-4.8e-13	4.937e-07	-4.9382e-07	-2.4311e-10	3.3178e-10	7.48e-12	4.9428e-07	-4.945e-07	-7.5426e-10	8.8199e-10	-8.3e-12	4.9478e-07	-4.949e-07
0.58	2.244e-09	-2.3891e-09	-6.99e-12	4.8722e-07	-4.8692e-07	8.8554e-10	-9.4326e-10	1.31e-12	4.9002e-07	-4.9018e-07	2.5488e-10	-2.487e-10	1.7e-12	4.9166e-07	-4.9182e-07	1.333e-11	4.436e-11	-6.5e-13	4.9288e-07	-4.9294e-07	-6.937e-11	1.5919e-10	-4.98e-12	4.9364e-07	-4.937e-07	-1.9227e-10	3.2498e-10	-2.74e-12	4.9426e-07	-4.946e-07	-6.797e-10	8.4769e-10	4.63e-12	4.9488e-07	-4.948e-07
0.585	2.3493e-09	-2.4466e-09	4.84e-12	4.8714e-07	-4.869e-07	9.6073e-10	-9.661e-10	-1.62e-12	4.9006e-07	-4.8996e-07	3.1207e-10	-2.5952e-10	-1.46e-12	4.9156e-07	-4.9158e-07	5.895e-11	4.038e-11	6e-13	4.9272e-07	-4.9284e-07	-1.802e-11	1.5642e-10	5.29e-12	4.9376e-07	-4.9372e-07	-1.3197e-10	3.1935e-10	1.99e-12	4.9408e-07	-4.9426e-07	-6.0222e-10	8.1925e-10	-5.7e-12	4.9502e-07	-4.952e-07
0.59	2.4534e-09	-2.507e-09	-7.18e-12	4.8704e-07	-4.8716e-07	1.0371e-09	-9.9835e-10	1e-14	4.9e-07	-4.9008e-07	3.6866e-10	-2.7265e-10	5e-13	4.9186e-07	-4.9166e-07	1.0828e-10	3.383e-11	4.5e-12	4.927e-07	-4.9282e-07	3.053e-11	1.5632e-10	-8.43e-12	4.9376e-07	-4.9392e-07	-8.6e-11	3.085e-10	4.18e-12	4.944e-07	-4.9438e-07	-5.3007e-10	7.9432e-10	-1.5e-12	4.9478e-07	-4.9506e-07
