vd	id_vg = 0.0V	ig_vg = 0.0V	is_vg = 0.0V	iavdd_vg = 0.0V	ignd_vg = 0.0V	id_vg = 0.15V	ig_vg = 0.15V	is_vg = 0.15V	iavdd_vg = 0.15V	ignd_vg = 0.15V	id_vg = 0.3V	ig_vg = 0.3V	is_vg = 0.3V	iavdd_vg = 0.3V	ignd_vg = 0.3V	id_vg = 0.45V	ig_vg = 0.45V	is_vg = 0.45V	iavdd_vg = 0.45V	ignd_vg = 0.45V	id_vg = 0.6V	ig_vg = 0.6V	is_vg = 0.6V	iavdd_vg = 0.6V	ignd_vg = 0.6V	id_vg = 0.75V	ig_vg = 0.75V	is_vg = 0.75V	iavdd_vg = 0.75V	ignd_vg = 0.75V	id_vg = 0.9V	ig_vg = 0.9V	is_vg = 0.9V	iavdd_vg = 0.9V	ignd_vg = 0.9V
0.665	5.8836e-09	-1.2205e-09	-6.31e-12	3.2016e-07	-3.2486e-07	5.1023e-09	-5.7277e-10	3.84e-12	3.1896e-07	-3.234e-07	4.8367e-09	-2.2704e-10	-3.82e-12	3.1898e-07	-3.2368e-07	4.8218e-09	-6.219e-11	9.6e-13	3.1886e-07	-3.238e-07	4.7907e-09	-1.107e-11	1.066e-11	3.1892e-07	-3.2356e-07	4.6146e-09	1.157e-11	2.1e-12	3.2018e-07	-3.2492e-07	4.4168e-09	8.831e-11	-8.91e-12	3.1898e-07	-3.2284e-07
0.67	5.9543e-09	-1.251e-09	4.99e-12	3.2028e-07	-3.2508e-07	5.216e-09	-5.8548e-10	-1.77e-12	3.1886e-07	-3.2356e-07	4.9801e-09	-2.321e-10	-2.89e-12	3.1894e-07	-3.2358e-07	4.9107e-09	-8.107e-11	-1.4e-12	3.1892e-07	-3.2368e-07	4.736e-09	-1.335e-11	9.93e-12	3.189e-07	-3.2374e-07	4.6637e-09	8.22e-12	3.54e-12	3.2024e-07	-3.2496e-07	4.5708e-09	8.312e-11	1.17e-12	3.1898e-07	-3.235e-07
0.675	6.1083e-09	-1.2816e-09	8.6e-13	3.2044e-07	-3.2518e-07	5.3526e-09	-6.0231e-10	-5.5e-13	3.1894e-07	-3.2366e-07	5.0209e-09	-2.4377e-10	1.143e-11	3.1902e-07	-3.239e-07	5.0029e-09	-7.733e-11	-2.11e-12	3.1888e-07	-3.2382e-07	4.9295e-09	-3.34e-12	-4.98e-12	3.189e-07	-3.2378e-07	4.7961e-09	1.172e-11	-3.44e-12	3.2016e-07	-3.2488e-07	4.6554e-09	7.594e-11	9.61e-12	3.1896e-07	-3.237e-07
0.68	6.1908e-09	-1.3049e-09	-6.71e-12	3.2028e-07	-3.2512e-07	5.507e-09	-6.1739e-10	2.68e-12	3.19e-07	-3.2382e-07	5.1723e-09	-2.526e-10	3.57e-12	3.1906e-07	-3.2382e-07	4.9732e-09	-7.858e-11	2.3e-12	3.1888e-07	-3.2382e-07	5.0182e-09	-1.427e-11	3.38e-12	3.1894e-07	-3.2394e-07	4.9137e-09	6.84e-12	6e-14	3.2012e-07	-3.2512e-07	4.8308e-09	7.15e-11	-5.94e-12	3.1892e-07	-3.2372e-07
0.685	6.4022e-09	-1.3337e-09	2.4e-13	3.2024e-07	-3.2524e-07	5.6195e-09	-6.3512e-10	7.1e-13	3.189e-07	-3.2392e-07	5.1187e-09	-2.5581e-10	-6.77e-12	3.1836e-07	-3.2314e-07	5.2504e-09	-8.342e-11	1.566e-11	3.1894e-07	-3.2398e-07	5.1409e-09	-1.245e-11	8.7e-13	3.1896e-07	-3.2404e-07	4.9058e-09	7.44e-12	7.13e-12	3.2022e-07	-3.2518e-07	4.8219e-09	7.216e-11	-7.48e-12	3.1896e-07	-3.2382e-07
0.69	6.4736e-09	-1.3615e-09	3.53e-12	3.202e-07	-3.2532e-07	5.7178e-09	-6.4828e-10	-1.012e-11	3.1882e-07	-3.2386e-07	5.3002e-09	-2.6448e-10	-7e-14	3.19e-07	-3.2416e-07	5.3073e-09	-8.636e-11	7.71e-12	3.1888e-07	-3.2404e-07	5.2245e-09	-1.898e-11	-8.72e-12	3.1896e-07	-3.241e-07	5.0963e-09	9.14e-12	2.06e-12	3.2016e-07	-3.2528e-07	4.8822e-09	6.023e-11	3.88e-12	3.1906e-07	-3.2392e-07
0.695	6.7195e-09	-1.3965e-09	-2.47e-12	3.2018e-07	-3.2546e-07	5.8473e-09	-6.6778e-10	2.97e-12	3.1892e-07	-3.2404e-07	5.5011e-09	-2.8002e-10	7.53e-12	3.1894e-07	-3.2412e-07	5.4358e-09	-9.584e-11	-2.507e-11	3.189e-07	-3.2412e-07	5.3313e-09	-1.548e-11	-7.25e-12	3.1896e-07	-3.2426e-07	5.252e-09	4.82e-12	-4.43e-12	3.2008e-07	-3.2524e-07	5.1107e-09	5.881e-11	4.8e-13	3.19e-07	-3.2402e-07
0.7	6.7127e-09	-1.4147e-09	-6.51e-12	3.2034e-07	-3.2558e-07	5.9319e-09	-6.823e-10	6.69e-12	3.19e-07	-3.2412e-07	5.528e-09	-2.8195e-10	-8.78e-12	3.189e-07	-3.2416e-07	5.4598e-09	-9.326e-11	-2.101e-11	3.1896e-07	-3.2416e-07	5.4165e-09	-1.771e-11	3.05e-12	3.1894e-07	-3.2438e-07	5.3155e-09	6.03e-12	-6.5e-13	3.2022e-07	-3.255e-07	5.2021e-09	5.452e-11	-9e-12	3.1894e-07	-3.2422e-07
0.705	7.0064e-09	-1.4615e-09	-8.38e-12	3.2022e-07	-3.2562e-07	6.076e-09	-7.014e-10	-7.04e-12	3.1888e-07	-3.2422e-07	5.6691e-09	-2.8956e-10	-5.34e-12	3.1902e-07	-3.2418e-07	5.5246e-09	-1.095e-10	4e-14	3.1888e-07	-3.2434e-07	5.5429e-09	-1.79e-11	1.269e-11	3.1894e-07	-3.2448e-07	5.4626e-09	3.93e-12	2.53e-12	3.2014e-07	-3.2556e-07	5.3595e-09	5.5e-11	3.08e-12	3.189e-07	-3.2434e-07
0.71	7.0562e-09	-1.479e-09	-2.67e-12	3.202e-07	-3.257e-07	6.2585e-09	-7.159e-10	4.23e-12	3.1888e-07	-3.242e-07	5.7841e-09	-3.0363e-10	1.18e-11	3.192e-07	-3.2444e-07	5.7198e-09	-9.014e-11	4.89e-12	3.188e-07	-3.2452e-07	5.6062e-09	-1.54e-11	5.46e-12	3.1906e-07	-3.2456e-07	5.5764e-09	5.12e-12	-6.98e-12	3.2016e-07	-3.257e-07	5.4285e-09	4.513e-11	8.8e-12	3.1894e-07	-3.2438e-07
