Coefficente_Inversione	Guadagno_Intrinseco
0.00367351351351351	22.1851281251219
0.00425297297297297	22.1748987854251
0.00492324324324324	22.2089421390999
0.0056854054054054	22.3246951219512
0.00658540540540541	22.3690476190476
0.00760864864864865	22.4161882893226
0.00880594594594595	22.4650930851063
0.0101643243243243	22.509540329575
0.0117578378378378	22.5252322370073
0.0135508108108108	22.7651915455746
0.0156632432432432	22.769753204515
0.0180621621621622	22.7209032043832
0.0208583783783784	22.6992492058909
0.0240027027027027	22.7960974993685
0.0276816216216216	22.9308722603498
0.0318108108108108	23.1019535426183
0.0366810810810811	23.047886728656
0.0421243243243243	23.106102071006
0.0485081081081081	23.0347195357835
0.0556594594594595	23.0921945701358
0.0639243243243243	23.1290322580646
0.0732216216216216	23.2440841367222
0.0840540540540541	22.9952290076335
0.0960540540540541	23.0316711590296
0.109783783783784	23.2148648648649
0.125237837837838	23.140127388535
0.142805405405405	23.190728945506
0.162151351351351	23.316715851602
0.184481081081081	23.2891475779196
0.209086486486486	23.1897041617917
0.236816216216216	23.1633967350607
0.26732972972973	23.0549738219895
0.301502702702703	23.2362570241876
0.338594594594595	23.3033813747228
0.380378378378378	23.1211077844311
0.425567567567568	23.169881710646
0.476	23.0967688483845
0.53027027027027	22.9347169811321
0.59	22.8288381742738
0.653405405405405	22.9243104554202
0.723189189189189	22.8033707865169
0.797297297297297	22.7118226600985
0.877945945945946	22.6733706720977
0.962918918918919	22.6405135520684
1.05518918918919	22.5033259423503
1.15140540540541	22.3490057995029
1.25486486486486	22.3480641376613
1.36324324324324	22.2877724418175
1.47891891891892	22.1063607924922
1.59713513513514	22.2311273694712
1.72567567567568	21.8562734082397
1.85627027027027	21.8224076281288
1.99513513513513	21.764730999146
2.13724324324324	21.6907356948229
2.28772972972973	21.5960835509139
2.44145945945946	21.3953865336658
2.60275675675676	21.2716478771888
2.76702702702703	21.082371942778
2.9387027027027	20.9886262265834
3.10864864864865	21.1847112860893
3.29081081081081	21.0402833580038
3.47459459459459	20.544578313253
3.66432432432432	20.711811023622
3.85783783783784	20.54
4.06	20.3093922651934
4.26054054054054	20.1908602150537
4.46972972972973	20.0148083623693
4.67837837837838	19.8406779661017
4.89459459459459	19.773631840796
5.11243243243243	19.7317073170732
5.3372972972973	19.5
5.56054054054054	19.4117647058824
5.79297297297297	19.250378214826
6.0227027027027	19.1505934718101
6.26054054054054	18.954347826087
6.49837837837838	18.7723404255319
6.74162162162162	18.7039106145251
6.9827027027027	18.5975274725274
7.23135135135135	18.5576662143826
7.47945945945946	18.3362068965517
7.73081081081081	18.2486945169713
7.98648648648649	18.1232349165597
8.2427027027027	17.9735182849937
8.50378378378378	17.8732919254658
8.76216216216216	17.7539779681763
9.02918918918919	17.6967312348668
9.29189189189189	17.5273483947681
9.56054054054054	17.5360094451003
9.83027027027027	17.2586605080831
10.1032432432432	17.1338268792711
10.372972972973	17.0230596175479
10.6491891891892	16.8388704318937
10.9232432432432	16.7431544359255
11.2010810810811	16.7168478260869
11.4783783783784	16.5160256410257
11.7605405405405	16.3829113924051
12.0410810810811	16.2716371220021
12.3227027027027	16.191632231405
12.607027027027	16.0874233128834
12.8902702702703	15.9254032258065
13.1789189189189	15.8428143712575
13.4621621621622	15.7588932806324
13.7551351351351	15.64013671875
14.0416216216216	15.5634075508229
14.3356756756757	15.4511494252874
14.6248648648649	15.3472485768501
14.9183783783784	15.249530075188
15.2097297297297	15.1451162790698
15.5054054054054	15.0317679558011
15.8005405405405	14.8407441016334
16.0983783783784	14.7716216216216
16.3891891891892	14.7112802148612
16.6881081081081	14.5927240461402
16.9864864864865	14.4107611548556
17.2816216216216	14.2961038961039
17.5816216216216	14.2222699914016
17.8772972972973	14.1653846153846
18.1789189189189	14.0490278951817
18.4772972972973	13.9547738693468
18.7816216216216	13.8228476821193
19.08	13.7617283950617
19.3848648648649	13.5926076360683
19.6827027027027	13.5400161681488
19.9875675675676	13.4148
20.287027027027	13.3202380952381
20.5945945945946	13.1823529411764
20.892972972973	13.1086448598131
21.2	12.9665127020786
21.5016216216216	12.8993108728943
21.807027027027	12.8391768292684
22.1102702702703	12.59349289454
22.4124324324324	12.4907063197026
