Vds	Gds_Vgs=0.15V	Gds_Vgs=0.30V	Gds_Vgs=0.45V	Gds_Vgs=0.60V	Gds_Vgs=0.75V	Gds_Vgs=0.90V
0.845	7.6e-08	5.82e-06	0.000144	0.000792	0.00146	0.00224
0.85	8.36e-08	5.64e-06	0.000148	0.000804	0.0015	0.00212
0.855	8.58e-08	5.32e-06	0.000154	0.000812	0.00144	0.00206
0.86	8.76e-08	5.14e-06	0.000158	0.000774	0.00148	0.0021
0.865	8.74e-08	4.82e-06	0.000156	0.000736	0.0016	0.00206
0.87	8.04e-08	3.9e-06	0.000148	0.000718	0.0016	0.00198
0.875	7.56e-08	3.16e-06	0.000142	0.000678	0.00156	0.00198
0.88	7.5e-08	3.46e-06	0.000138	0.000652	0.00154	0.002
0.885	7.26e-08	3.92e-06	0.000136	0.00067	0.00148	0.00204
0.89	7.44e-08	3.9e-06	0.000142	0.000692	0.0014	0.00214
0.895	8.18e-08	3.94e-06	0.000146	0.00071	0.00132	0.00226
0.9	8.48e-08	4.24e-06	0.000142	0.00073	0.00122	0.00236
