vd	id_vg = 0.0V	ig_vg = 0.0V	is_vg = 0.0V	iavdd_vg = 0.0V	ignd_vg = 0.0V	id_vg = 0.15V	ig_vg = 0.15V	is_vg = 0.15V	iavdd_vg = 0.15V	ignd_vg = 0.15V	id_vg = 0.3V	ig_vg = 0.3V	is_vg = 0.3V	iavdd_vg = 0.3V	ignd_vg = 0.3V	id_vg = 0.45V	ig_vg = 0.45V	is_vg = 0.45V	iavdd_vg = 0.45V	ignd_vg = 0.45V	id_vg = 0.6V	ig_vg = 0.6V	is_vg = 0.6V	iavdd_vg = 0.6V	ignd_vg = 0.6V	id_vg = 0.75V	ig_vg = 0.75V	is_vg = 0.75V	iavdd_vg = 0.75V	ignd_vg = 0.75V	id_vg = 0.9V	ig_vg = 0.9V	is_vg = 0.9V	iavdd_vg = 0.9V	ignd_vg = 0.9V
0.42	4.9881e-09	-2.1773e-09	-4.3000000000000004e-13	3.2512e-07	-3.279e-07	3.3864e-09	-8.037200000000001e-10	-3.2000000000000005e-13	3.2506e-07	-3.2758e-07	2.7357e-09	-1.8342e-10	-2.7e-13	3.2492e-07	-3.2754e-07	2.4428e-09	4.253e-11	-1.2500000000000001e-12	3.2488e-07	-3.2734e-07	2.0904e-09	2.7185e-10	-1.8000000000000004e-13	3.2488e-07	-3.2726e-07	9.0692e-10	1.399e-09	2.0000000000000003e-14	3.2488e-07	-3.2718e-07	-4.6785e-09	6.9858e-09	-5.2e-13	3.2484e-07	-3.2708e-07
0.425	5.0995e-09	-2.2347e-09	-1.2900000000000002e-12	3.2506e-07	-3.2788e-07	3.4697e-09	-8.3722e-10	3.2000000000000005e-13	3.2508e-07	-3.2768e-07	2.7959e-09	-1.9202000000000003e-10	-2e-13	3.2494e-07	-3.2756e-07	2.4901e-09	3.687e-11	-1.3400000000000003e-12	3.2486e-07	-3.2738e-07	2.1564e-09	2.6028e-10	-6.1e-13	3.2492e-07	-3.2726e-07	1.0403e-09	1.3163e-09	-1.13e-12	3.2488e-07	-3.2724e-07	-4.2721e-09	6.6423e-09	-1.59e-12	3.2478e-07	-3.2716e-07
0.43	5.2241e-09	-2.2982e-09	-4.4000000000000004e-13	3.2516e-07	-3.281e-07	3.5743e-09	-8.6567e-10	-4.7e-13	3.2502e-07	-3.277e-07	2.8744e-09	-2.029e-10	-6.500000000000002e-13	3.2494e-07	-3.2756e-07	2.5551e-09	2.9220000000000004e-11	-3.900000000000001e-13	3.2496e-07	-3.2752e-07	2.2184e-09	2.4481e-10	-7.5e-13	3.2494e-07	-3.2738e-07	1.1836e-09	1.2371e-09	-8.2e-13	3.2486e-07	-3.2726e-07	-3.8699e-09	6.3034e-09	-1.31e-12	3.2478e-07	-3.2722e-07
0.435	5.3778e-09	-2.3596e-09	-9e-14	3.2514e-07	-3.281e-07	3.6564e-09	-8.988200000000001e-10	-4.500000000000001e-13	3.2508e-07	-3.278e-07	2.9277e-09	-2.1715e-10	-6.6e-13	3.2498e-07	-3.2762e-07	2.6376e-09	2.69e-11	-3.000000000000001e-13	3.2482e-07	-3.275e-07	2.316e-09	2.3249e-10	7e-14	3.2494e-07	-3.274e-07	1.3435e-09	1.1643e-09	-1.3e-13	3.2496e-07	-3.2738e-07	-3.5006e-09	6.0009e-09	-1.04e-12	3.248e-07	-3.2728e-07
0.44	5.5132e-09	-2.4223e-09	-3.2000000000000005e-13	3.2512e-07	-3.282e-07	3.7492e-09	-9.3362e-10	-8.600000000000001e-13	3.2506e-07	-3.2786e-07	2.9979e-09	-2.3021000000000002e-10	-5.300000000000002e-13	3.2498e-07	-3.2774e-07	2.6954e-09	2.14e-11	-1.5300000000000001e-12	3.2488e-07	-3.2752e-07	2.3857e-09	2.2256e-10	-1.2400000000000002e-12	3.2494e-07	-3.2746e-07	1.4867e-09	1.0957e-09	-3.0000000000000005e-14	3.249e-07	-3.2744e-07	-3.1174e-09	5.6735e-09	3.5e-13	3.2482e-07	-3.2734e-07
0.445	5.6223e-09	-2.4845e-09	-9.4e-13	3.2512e-07	-3.2826e-07	3.8514e-09	-9.6632e-10	-7.700000000000001e-13	3.2504e-07	-3.279e-07	3.0813e-09	-2.4115000000000004e-10	-1.4e-12	3.2498e-07	-3.278e-07	2.7578e-09	1.524e-11	-6.3e-13	3.2486e-07	-3.2764e-07	2.4664e-09	2.1033e-10	-7.800000000000002e-13	3.249e-07	-3.2762e-07	1.6136e-09	1.0304e-09	-1.5700000000000002e-12	3.2482e-07	-3.2746e-07	-2.7677e-09	5.389e-09	-8.7e-13	3.2484e-07	-3.274e-07
0.45	5.74e-09	-2.5524e-09	-3.000000000000001e-13	3.2512e-07	-3.283e-07	3.9221e-09	-9.9877e-10	-7.600000000000002e-13	3.2506e-07	-3.2798e-07	3.1438e-09	-2.5562000000000004e-10	-1.2500000000000001e-12	3.2492e-07	-3.278e-07	2.8185e-09	9.93e-12	-2.5e-13	3.2494e-07	-3.2768e-07	2.5282e-09	1.9901e-10	1.9000000000000002e-13	3.2492e-07	-3.2764e-07	1.7419e-09	9.6683e-10	-3.4e-13	3.2488e-07	-3.2756e-07	-2.432e-09	5.1099e-09	-7e-13	3.2488e-07	-3.2748e-07
0.455	5.8678e-09	-2.618e-09	1.9000000000000002e-13	3.2508e-07	-3.2836e-07	4.0083e-09	-1.03575e-09	-5e-14	3.2506e-07	-3.2802e-07	3.2272e-09	-2.7053e-10	-7.700000000000001e-13	3.2496e-07	-3.2782e-07	2.899e-09	6.420000000000001e-12	-1.02e-12	3.249e-07	-3.2784e-07	2.6227e-09	1.8884e-10	2.900000000000001e-13	3.2492e-07	-3.2768e-07	1.8585e-09	9.1149e-10	-8.000000000000001e-14	3.249e-07	-3.2758e-07	-2.1038e-09	4.8405e-09	-1.1000000000000001e-13	3.2486e-07	-3.2756e-07
0.46	6.0051e-09	-2.6833e-09	3.000000000000001e-13	3.2506e-07	-3.2836e-07	4.12e-09	-1.0722600000000002e-09	-2.6e-13	3.2516e-07	-3.281e-07	3.3124e-09	-2.8379e-10	-8.7e-13	3.2494e-07	-3.2792e-07	2.9536e-09	7.700000000000001e-13	-1.07e-12	3.2488e-07	-3.2786e-07	2.6784e-09	1.8198e-10	-1.2800000000000002e-12	3.2488e-07	-3.2772e-07	1.9174e-09	8.572500000000001e-10	-1.1000000000000002e-12	3.2482e-07	-3.2756e-07	-1.7677e-09	4.5863e-09	-1.1000000000000001e-13	3.2478e-07	-3.2754e-07
0.465	6.1093e-09	-2.7527e-09	-7.200000000000002e-13	3.2512e-07	-3.2842e-07	4.2126e-09	-1.10847e-09	-1.74e-12	3.2504e-07	-3.2812e-07	3.3852e-09	-2.9894e-10	-1.09e-12	3.2486e-07	-3.2798e-07	3.0258e-09	-5.720000000000001e-12	-5.1e-13	3.2494e-07	-3.28e-07	2.7482e-09	1.6996e-10	-5.9e-13	3.2492e-07	-3.2776e-07	2.0298e-09	8.0652e-10	2.5e-13	3.2486e-07	-3.2764e-07	-1.4677e-09	4.3495e-09	-7.200000000000002e-13	3.2484e-07	-3.277e-07
