|Vgs|	Gm_|Vds|=0.15V	Gm_|Vds|=0.3V	Gm_|Vds|=0.45V	Gm_|Vds|=0.6V	Gm_|Vds|=0.75V	Gm_|Vds|=0.9V
-0.195	-6.76999999999996e-10	-2.12899999999999e-09	-6.34600000000003e-09	-5.92799999999986e-09	-2.166e-08	-5.36419999999999e-08
-0.19	-5.32999999999998e-10	-2.28099999999999e-09	-5.878e-09	-5.84199999999984e-09	-2.1608e-08	-4.98799999999999e-08
-0.185	-5.58999999999999e-10	-2.398e-09	-6.22599999999999e-09	-3.90399999999987e-09	-2.23699999999999e-08	-4.90499999999999e-08
-0.18	-8.83999999999999e-10	-2.215e-09	-6.608e-09	-5.62199999999993e-09	-2.096e-08	-4.88159999999999e-08
-0.175	-1.075e-09	-2.45999999999999e-09	-5.10799999999999e-09	-9.71600000000001e-09	-1.9286e-08	-4.78960000000001e-08
-0.17	-1.234e-09	-2.95500000000001e-09	-4.10599999999997e-09	-9.54200000000006e-09	-1.7838e-08	-4.96080000000001e-08
-0.165	-1.47e-09	-2.22100000000001e-09	-3.80000000000001e-09	-8.44600000000009e-09	-1.6266e-08	-4.93840000000001e-08
-0.16	-1.765e-09	-2.05499999999998e-09	-2.88400000000004e-09	-1.02040000000001e-08	-1.5918e-08	-4.4212e-08
-0.155	-2.053e-09	-2.86399999999998e-09	-2.34200000000001e-09	-9.43399999999998e-09	-1.7944e-08	-4.21060000000001e-08
-0.15	-1.91e-09	-2.648e-09	-2.51199999999997e-09	-5.11999999999998e-09	-2.0462e-08	-4.27000000000001e-08
-0.145	-1.182e-09	-2.21399999999999e-09	-2.71399999999998e-09	-4.75400000000004e-09	-2.029e-08	-3.8858e-08
-0.14	-7.79000000000001e-10	-2.219e-09	-3.67199999999996e-09	-7.70800000000003e-09	-1.52859999999999e-08	-3.46820000000001e-08
-0.135	-8.17000000000002e-10	-2.00800000000002e-09	-5.01199999999996e-09	-6.28600000000003e-09	-1.3792e-08	-3.04260000000002e-08
-0.13	-5.65000000000001e-10	-2.44400000000002e-09	-4.12800000000001e-09	-2.9120000000001e-09	-1.64700000000001e-08	-2.62840000000001e-08
-0.125	-2.77999999999998e-10	-3.549e-09	-3.15600000000002e-09	-2.13800000000007e-09	-1.3142e-08	-2.70839999999998e-08
-0.12	-4.69999999999997e-10	-3.42899999999998e-09	-4.81400000000001e-09	-1.00000000000118e-11	-1.0104e-08	-2.96799999999999e-08
-0.115	-8.88999999999997e-10	-2.68799999999998e-09	-5.63000000000003e-09	2.18799999999999e-09	-1.5156e-08	-3.1652e-08
-0.11	-8.71000000000002e-10	-1.84799999999998e-09	-3.75200000000002e-09	5.69999999999966e-10	-1.78679999999999e-08	-3.44679999999998e-08
-0.105	-1.63000000000004e-10	-3.90999999999977e-10	-2.34599999999996e-09	-2.30999999999999e-09	-1.378e-08	-3.53319999999998e-08
-0.1	2.92999999999994e-10	5.6200000000002e-10	-1.58599999999996e-09	-5.57999999999992e-09	-1.1742e-08	-3.4222e-08
-0.095	2.48999999999995e-10	6.89999999999979e-11	3.45999999999984e-10	-7.98399999999995e-09	-1.13520000000001e-08	-3.1766e-08
-0.09	5.09999999999997e-10	-8.41000000000008e-10	1.28399999999998e-09	-7.06800000000005e-09	-9.65600000000013e-09	-2.73739999999999e-08
-0.085	8.88000000000003e-10	-1.10399999999999e-09	4.07999999999992e-10	-6.62600000000002e-09	-8.77800000000011e-09	-2.7888e-08
-0.08	5.93000000000004e-10	-1.16699999999999e-09	-1.50800000000002e-09	-7.05199999999996e-09	-8.09200000000001e-09	-3.0002e-08
-0.075	2.38000000000002e-10	-1.32100000000001e-09	-2.592e-09	-2.86200000000004e-09	-7.83199999999991e-09	-2.78079999999999e-08
-0.07	3.91e-10	-7.4200000000002e-10	-2.07199999999997e-09	-1.08000000000017e-10	-8.97799999999994e-09	-2.66679999999999e-08
