gm,Vd=0V	gm,Vd=0.15V	gm,Vd=0.3V	gm,Vd=0.45V	gm,Vd=0.6V	gm,Vd=0.75V	gm,Vd=0.9V
-4.64e-10	-5.00000000000153e-12	-4.16000000000001e-10	-2.54499999999999e-09	-2.50000000000014e-10	2.00000000000061e-11	-2.20000000000067e-10
-5.36e-10	-4.94999999999999e-10	-2.99e-10	3.71000000000001e-10	7.79999999999994e-10	6.89000000000001e-09	-2.0000000000006e-10
-4.70000000000006e-11	4.39000000000002e-10	8.59000000000002e-10	1.439e-09	1.27e-09	5.79999999999988e-10	4.18000000000004e-09
-5.96e-10	6.83999999999999e-10	5.69999999999999e-10	9.96999999999991e-10	2.18e-09	-4.79000000000002e-09	4.96999999999999e-09
-4.33999999999999e-10	7.12999999999998e-10	9.26000000000005e-10	2.529e-09	3.67000000000001e-09	4.27000000000003e-09	6.7e-09
9.9000000000001e-11	4.74999999999999e-10	2.028e-09	2.74900000000001e-09	3.78e-09	6.6e-09	1.00500000000001e-08
-3.13e-10	1.444e-09	2.64399999999999e-09	3.68299999999999e-09	4.8e-09	9.15999999999999e-09	1.185e-08
-2.34e-10	1.711e-09	3.213e-09	4.66300000000001e-09	6.74000000000001e-09	1.887e-08	1.493e-08
-1.36e-10	1.704e-09	3.676e-09	5.725e-09	9.94999999999999e-09	1.29e-08	1.778e-08
4.85e-10	2.64e-09	5.562e-09	7.52299999999999e-09	1.118e-08	8.48999999999999e-09	2.325e-08
-3.36000000000001e-10	3.276e-09	6.182e-09	8.587e-09	1.332e-08	1.804e-08	2.78599999999999e-08
-2.04e-10	4.124e-09	7.23700000000001e-09	1.0464e-08	1.532e-08	2.177e-08	3.056e-08
3.44e-10	4.416e-09	9.261e-09	1.328e-08	1.757e-08	2.748e-08	3.857e-08
-1.87e-10	6.151e-09	1.1196e-08	1.696e-08	2.34e-08	3.285e-08	4.627e-08
8.70000000000001e-11	6.983e-09	1.3115e-08	1.982e-08	2.698e-08	3.851e-08	5.33e-08
2.99e-10	7.699e-09	1.5031e-08	2.314e-08	3.251e-08	4.65899999999999e-08	6.559e-08
4.99e-10	1.016e-08	1.9189e-08	2.783e-08	4.788e-08	5.436e-08	7.677e-08
-1.24e-10	1.2344e-08	2.2396e-08	3.304e-08	4.567e-08	6.4e-08	9.16099999999999e-08
3.91e-10	1.4224e-08	2.6198e-08	3.7e-08	4.615e-08	7.519e-08	1.0172e-07
6.07e-10	1.614e-08	3.0867e-08	4.402e-08	6.43e-08	8.867e-08	1.1654e-07
1.2e-11	1.9304e-08	3.533e-08	5.328e-08	7.448e-08	1.03e-07	1.3833e-07
2.73e-10	2.2359e-08	4.24e-08	6.204e-08	8.654e-08	1.1854e-07	1.6288e-07
3.95e-10	2.6253e-08	4.94e-08	7.269e-08	1.0123e-07	1.3949e-07	1.9514e-07
6.05e-10	3.1655e-08	6.381e-08	9.478e-08	1.1963e-07	1.6463e-07	2.1978e-07
4.09999999999998e-11	3.7192e-08	7.033e-08	1.0156e-07	1.4143e-07	1.893e-07	2.5574e-07
2.05e-10	4.401e-08	7.492e-08	1.1534e-07	1.6579e-07	2.2115e-07	3.0248e-07
7.76e-10	5.11e-08	9.238e-08	1.3608e-07	1.9036e-07	2.642e-07	3.5124e-07
7.15e-10	5.988e-08	1.1225e-07	1.5307e-07	2.2395e-07	3.0764e-07	4.0814e-07
4.02e-10	7.172e-08	1.3291e-07	1.9711e-07	2.6365e-07	3.5564e-07	4.703e-07
9.98e-10	8.469e-08	1.513e-07	2.1946e-07	3.0614e-07	4.1242e-07	5.652e-07
